"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CertICAOVDS","CertICAOVDS","","","",0,*,"","","","","Certificate - ICAO Visible Digital Seal Logical Model","Data elements for the ICAO Visible Digital Seal Core Data Set.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CertICAOVDS.data","CertICAOVDS.data","","","",0,1,"","","","BackboneElement {[]} {[]}
","Data","Data","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data",0,1,"",""
"CertICAOVDS.data.hdr","CertICAOVDS.data.hdr","","","",0,1,"","","","BackboneElement {[]} {[]}
","Header","Header","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.hdr",0,1,"",""
"CertICAOVDS.data.hdr.iss","CertICAOVDS.data.hdr.iss","","","",0,1,"","","","string {[]} {[]}
","Issuer","Issuer","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.hdr.iss",0,1,"",""
"CertICAOVDS.data.hdr.t","CertICAOVDS.data.hdr.t","","","",0,1,"","","","string {[]} {[]}
","Type: icao.test icao.vacc","Type: icao.test icao.vacc","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.hdr.t",0,1,"",""
"CertICAOVDS.data.hdr.v","CertICAOVDS.data.hdr.v","","","",0,1,"","","","integer {[]} {[]}
","Version","Version","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.hdr.v",0,1,"",""
"CertICAOVDS.data.msg","CertICAOVDS.data.msg","","","",0,1,"","","","BackboneElement {[]} {[]}
","Message","Message","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg",0,1,"",""
"CertICAOVDS.data.msg.pid","CertICAOVDS.data.msg.pid","","","",0,1,"","","","BackboneElement {[]} {[]}
","Patient","Patient","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.pid",0,1,"",""
"CertICAOVDS.data.msg.pid.dob","CertICAOVDS.data.msg.pid.dob","","","",0,1,"","","","dateTime {[]} {[]}
","Date of Birth","Date of Birth","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.pid.dob",0,1,"",""
"CertICAOVDS.data.msg.pid.i","CertICAOVDS.data.msg.pid.i","","","",0,1,"","","","string {[]} {[]}
","Identifier (Passport Number, etc)","Identifier (Passport Number, etc)","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.pid.i",0,1,"",""
"CertICAOVDS.data.msg.pid.n","CertICAOVDS.data.msg.pid.n","","","",0,1,"","","","string {[]} {[]}
","Name","Name","","","","","","","","","",,,,,"",,,,"CertICAOVDS.data.msg.pid.n",0,1,"",""
