"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CertDIVOC","CertDIVOC","","","",0,*,"","","","","Certificate - DIVOC Verifiable Credential Logical Model","Data elements for the DIVOC Core Data Set.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CertDIVOC.context","CertDIVOC.context","","","",1,*,"","","","string {[]} {[]}
","Context","JSON-LD Context URLs","","","","","","","","","",,,,,"",,,,"CertDIVOC.context",1,*,"",""
"CertDIVOC.type","CertDIVOC.type","","","",1,*,"","","","string {[]} {[]}
","Type","JSON-LD Type","","","","","","","","","",,,,,"",,,,"CertDIVOC.type",1,*,"",""
"CertDIVOC.issuer","CertDIVOC.issuer","","","",1,1,"","","","string {[]} {[]}
","Issuer identifier","Issuer identifier URI, generally a DID","","","","","","","","","",,,,,"",,,,"CertDIVOC.issuer",1,1,"",""
"CertDIVOC.issuanceDate","CertDIVOC.issuanceDate","","","",1,1,"","","","dateTime {[]} {[]}
","issuanceDate","Date and time when a credential becomes valid","","","","","","","","","",,,,,"",,,,"CertDIVOC.issuanceDate",1,1,"",""
"CertDIVOC.nonTransferable","CertDIVOC.nonTransferable","","","",0,1,"","","","boolean {[]} {[]}
","Non Trasnferability","indicates that a verifiable credential must only be encapsulated into a verifiable presentation whose proof was issued by the credentialSubject","","","","","","","","","",,,,,"",,,,"CertDIVOC.nonTransferable",0,1,"",""
"CertDIVOC.credentialSubject","CertDIVOC.credentialSubject","","","",1,1,"","","","BackboneElement {[]} {[]}
","CredentialSubject","Contains claims about one or morebjects (Patients)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject",1,1,"",""
"CertDIVOC.credentialSubject.id","CertDIVOC.credentialSubject.id","","","",0,1,"","","","string {[]} {[]}
","id","id","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.id",0,1,"",""
"CertDIVOC.credentialSubject.type","CertDIVOC.credentialSubject.type","","","",1,*,"","","","string {[]} {[]}
","type","Type of credential. Generally 'Person'","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.type",1,*,"",""
"CertDIVOC.credentialSubject.uhid","CertDIVOC.credentialSubject.uhid","","","",0,1,"","","","string {[]} {[]}
","another id","another id","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.uhid",0,1,"",""
"CertDIVOC.credentialSubject.refId","CertDIVOC.credentialSubject.refId","","","",0,1,"","","","string {[]} {[]}
","reference id","reference id","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.refId",0,1,"",""
"CertDIVOC.credentialSubject.name","CertDIVOC.credentialSubject.name","","","",0,1,"","","","string {[]} {[]}
","A name associated with the patient","A name associated with the patient","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.name",0,1,"",""
"CertDIVOC.credentialSubject.gender","CertDIVOC.credentialSubject.gender","","","",0,1,"","","","string {[]} {[]}
","Gender (M,F)","Gender (M,F)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.gender",0,1,"",""
"CertDIVOC.credentialSubject.sex","CertDIVOC.credentialSubject.sex","","","",0,1,"","","","string {[]} {[]}
","Sex (M,F)","Sex (M,F)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.sex",0,1,"",""
"CertDIVOC.credentialSubject.age","CertDIVOC.credentialSubject.age","","","",0,1,"","","","string {[]} {[]}
","Age (V1)","Age (V1)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.age",0,1,"",""
"CertDIVOC.credentialSubject.dob","CertDIVOC.credentialSubject.dob","","","",0,1,"","","","dateTime {[]} {[]}
","The date of birth for the individual (V2)","The date of birth for the individual (V2)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.dob",0,1,"",""
"CertDIVOC.credentialSubject.nationality","CertDIVOC.credentialSubject.nationality","","","",0,1,"","","","string {[]} {[]}
","Nationality","Nationality","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.nationality",0,1,"",""
"CertDIVOC.credentialSubject.address","CertDIVOC.credentialSubject.address","","","",0,1,"","","","BackboneElement {[]} {[]}
","Address","Address","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address",0,1,"",""
"CertDIVOC.credentialSubject.address.streetAddress","CertDIVOC.credentialSubject.address.streetAddress","","","",0,1,"","","","string {[]} {[]}
","Line 1 of the address","Line 1 of the address","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address.streetAddress",0,1,"",""
