"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CertSHC","CertSHC","","","",0,*,"","","","","Certificate - Smart Health Card's JSon Web Token Logical Model","Data elements for the Smart Health Cards Core Data Set.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CertSHC.iss","CertSHC.iss","","","",0,1,"","","","string {[]} {[]}
","Issuer","Issuer","","","","","","","","","",,,,,"",,,,"CertSHC.iss",0,1,"",""
"CertSHC.sub","CertSHC.sub","","","",0,1,"","","","string {[]} {[]}
","Subject","Subject","","","","","","","","","",,,,,"",,,,"CertSHC.sub",0,1,"",""
"CertSHC.aud","CertSHC.aud","","","",0,1,"","","","string {[]} {[]}
","Audience","Audience","","","","","","","","","",,,,,"",,,,"CertSHC.aud",0,1,"",""
"CertSHC.exp","CertSHC.exp","","","",0,1,"","","","dateTime {[]} {[]}
","Expiration Date","Expiration Date","","","","","","","","","",,,,,"",,,,"CertSHC.exp",0,1,"",""
"CertSHC.nbf","CertSHC.nbf","","","",0,1,"","","","dateTime {[]} {[]}
","Not before Date","Not before Date","","","","","","","","","",,,,,"",,,,"CertSHC.nbf",0,1,"",""
"CertSHC.iat","CertSHC.iat","","","",0,1,"","","","dateTime {[]} {[]}
","Issued at Date","Issued at Date","","","","","","","","","",,,,,"",,,,"CertSHC.iat",0,1,"",""
"CertSHC.jti","CertSHC.jti","","","",0,1,"","","","string {[]} {[]}
","Credential's Unique Identifier","Credential's Unique Identifier","","","","","","","","","",,,,,"",,,,"CertSHC.jti",0,1,"",""
"CertSHC.vc","CertSHC.vc","","","",0,1,"","","","BackboneElement {[]} {[]}
","VC - verifiable credential","VC - verifiable credential","","","","","","","","","",,,,,"",,,,"CertSHC.vc",0,1,"",""
"CertSHC.vc.type","CertSHC.vc.type","","","",0,*,"","","","string {[]} {[]}
","Credential Type","Credential Type","","","","","","","","","",,,,,"",,,,"CertSHC.vc.type",0,*,"",""
"CertSHC.vc.credentialSubject","CertSHC.vc.credentialSubject","","","",0,1,"","","","BackboneElement {[]} {[]}
","Credential Subject","Credential Subject","","","","","","","","","",,,,,"",,,,"CertSHC.vc.credentialSubject",0,1,"",""
"CertSHC.vc.credentialSubject.fhirVersion","CertSHC.vc.credentialSubject.fhirVersion","","","",0,1,"","","","string {[]} {[]}
","Fhir Version","Fhir Version","","","","","","","","","",,,,,"",,,,"CertSHC.vc.credentialSubject.fhirVersion",0,1,"",""
"CertSHC.vc.credentialSubject.fhirBundle","CertSHC.vc.credentialSubject.fhirBundle","","","",0,1,"","","","Bundle {[]} {[]}
","Fhir Bundle with the signed objects","Fhir Bundle with the signed objects","","","","","","","","","",,,,,"",,,,"CertSHC.vc.credentialSubject.fhirBundle",0,1,"",""
